periodo,banco,sector,creditos_miles,fecha
2020-12,ICBC,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,Bank of China,Hoteles y Restaurantes,0.0,2020-12-01
2020-12,BBVA,"Transporte, Almacenamiento y Comunicaciones",5706033.14,2020-12-01
2020-12,Comercio,"Transporte, Almacenamiento y Comunicaciones",14944.15,2020-12-01
2020-12,BCP,"Transporte, Almacenamiento y Comunicaciones",6221663.05,2020-12-01
2020-12,Pichincha,"Transporte, Almacenamiento y Comunicaciones",439695.38,2020-12-01
2020-12,BanBif,"Transporte, Almacenamiento y Comunicaciones",439656.02,2020-12-01
2020-12,Scotiabank,"Transporte, Almacenamiento y Comunicaciones",3308087.28,2020-12-01
2020-12,Citibank,"Transporte, Almacenamiento y Comunicaciones",35628.74,2020-12-01
2020-12,Interbank,"Transporte, Almacenamiento y Comunicaciones",1373876.14,2020-12-01
2020-12,Mibanco,"Transporte, Almacenamiento y Comunicaciones",1607352.13,2020-12-01
2020-12,GNB,"Transporte, Almacenamiento y Comunicaciones",143476.61,2020-12-01
2020-12,Falabella,"Transporte, Almacenamiento y Comunicaciones",0.0,2020-12-01
2020-12,Santander,"Transporte, Almacenamiento y Comunicaciones",234943.62,2020-12-01
2020-12,Ripley,"Transporte, Almacenamiento y Comunicaciones",0.0,2020-12-01
2020-12,Azteca,"Transporte, Almacenamiento y Comunicaciones",0.0,2020-12-01
2020-12,ICBC,"Transporte, Almacenamiento y Comunicaciones",0.0,2020-12-01
2020-12,Bank of China,"Transporte, Almacenamiento y Comunicaciones",0.0,2020-12-01
2020-12,BBVA,Intermediación Financiera,1432763.71,2020-12-01
2020-12,Comercio,Intermediación Financiera,0.0,2020-12-01
2020-12,BCP,Intermediación Financiera,3904737.74,2020-12-01
2020-12,Pichincha,Intermediación Financiera,133328.18,2020-12-01
2020-12,BanBif,Intermediación Financiera,504035.33,2020-12-01
2020-12,Scotiabank,Intermediación Financiera,1050490.11,2020-12-01
2020-12,Citibank,Intermediación Financiera,221698.7,2020-12-01
